Designator,Footprint,Quantity,Value,LCSC Part #
A2,Arduino_Nano,1,Arduino_Nano_v3.x,
"C10, C13, C14, C7",0603,4,22 uF,
"C11, C12",0603,2,4.7 nF,
"C15, C16",0603,2,100 nF,
C5,0603,1,.1uF,
C6,0603,1,4.7uF,
C8,0603,1,.1 uF,
C9,0603,1,2.2 uF,
"J1, J3, J4, J5, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,Conn_01x02,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J7,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J8,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
L1,L_Sumida_CDMC6D28_7.25x6.5mm,1,1.8 uH,
"Q1, Q2, Q3, Q4",SOT-23,4,TSM2302CX,
"R1, R2, R3, R4",0603,4,100,
R10,0603,1,681k,
R11,0603,1,17.4 k,
"R5, R6",0603,2,4.7 k,
R7,0603,1,301k,
R8,0603,1,127 k,
R9,0603,1,107k,
U2,ST_VL53L1x,1,VL53L0CXV0DH1,
U3,Texas_VQFN-RNR0011A-11,1,TPS61089,
U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSM,
