Designator,Mid X,Mid Y,Rotation,Layer
A2,83.88,-72.66,0.0,top
C10,66.35,-72.75,0.0,top
C11,68.85,-68.25,90.0,top
C12,71.85,-68.475,90.0,top
C13,66.35,-70.5,0.0,top
C14,66.35,-67.75,0.0,top
C15,96.5,-71.0,270.0,top
C16,99.25,-71.0,90.0,top
C5,101.175,-78.36,270.0,top
C6,103.5,-78.36,270.0,top
C7,61.25,-86.25,90.0,top
C8,64.35,-78.25,180.0,top
C9,70.625,-77.25,0.0,top
J1,64.45,-62.75,90.0,top
J2,60.0,-64.83,0.0,top
J3,65.5,-55.0,270.0,top
J4,101.5,-52.75,270.0,top
J5,100.75,-92.75,90.0,top
J6,65.95,-92.25,90.0,top
J7,105.0,-68.6,0.0,top
J8,105.0,-58.5,0.0,top
L1,66.25,-83.5,90.0,top
Q1,71.5625,-55.05,0.0,top
Q2,95.8125,-56.5,180.0,top
Q3,100.75,-86.5625,90.0,top
Q4,71.5,-91.25,0.0,top
R1,72.25,-58.575,90.0,top
R10,70.175,-73.75,180.0,top
R11,70.25,-70.975,0.0,top
R2,94.75,-53.0,270.0,top
R3,105.0,-84.75,270.0,top
R4,72.75,-95.5,180.0,top
R5,95.25,-90.0,0.0,top
R6,95.75,-86.25,0.0,top
R7,67.6,-78.25,0.0,top
R8,61.6,-74.75,180.0,top
R9,70.675,-75.5,0.0,top
U2,97.25,-79.35,270.0,top
U3,66.2,-75.24,180.0,top
U4,97.8375,-67.75,0.0,top
